city,quality,floors,rooms,area_sqft,wall_length_ft,carpet_ratio,bricks_count,cement_bags,steel_kg,paint_liters,worker_days,total_cost
Chennai,standard,2,5,900,120,0.72,15000,400,2000,150,300,2500000
Chennai,premium,2,5,900,120,0.75,16000,450,2200,180,350,3200000
Coimbatore,standard,1,3,600,80,0.70,8000,200,1000,80,150,1200000
Bangalore,premium,3,8,2500,300,0.80,45000,1200,6000,500,800,9500000
Mumbai,high-end,4,10,3000,400,0.85,60000,1500,8000,700,1000,15000000
Chennai,standard,1,2,500,70,0.70,7000,180,900,70,120,900000
Hyderabad,premium,2,4,1200,150,0.78,20000,550,2800,250,400,4500000
Delhi,standard,2,6,1100,140,0.74,18000,500,2500,200,380,3800000
Kolkata,economical,1,2,450,60,0.65,5500,150,700,50,100,700000
Pune,premium,3,6,1800,250,0.79,32000,900,4500,400,600,7200000
Chennai,high-end,2,5,950,130,0.82,18000,500,2500,220,400,4000000
Bangalore,standard,2,4,1000,130,0.75,16500,460,2300,190,360,3400000
Mumbai,standard,1,1,300,50,0.60,4000,100,500,40,80,550000
Jaipur,economical,2,4,850,110,0.68,12000,350,1800,140,280,1800000
Ahmedabad,premium,3,7,2100,280,0.81,38000,1000,5000,450,700,8500000
Chennai,standard,3,6,1400,200,0.76,24000,650,3200,280,500,5200000
Coimbatore,premium,2,5,1300,160,0.79,22000,600,3000,260,420,4800000
Hyderabad,high-end,4,9,3200,450,0.86,65000,1600,8500,750,1100,16500000
Delhi,premium,2,5,1000,140,0.77,17000,480,2400,210,370,4100000
Lucknow,standard,1,3,700,90,0.71,9500,250,1200,100,180,1500000
